cliente,rut,email,numero,emision,vencimiento,moneda,monto,pagado
Agroindustrial Maipo SA,96.551.740-2,tesoreria@agromaipo.cl,F-10459,2026-06-24,2026-08-23,CLP,6916000,6916000
Servicios Electricos Coya,77.201.559-8,admin@electricacoya.cl,F-10490,2026-07-25,2026-08-24,CLP,1958000,1958000
Frigorifico Osorno SpA,77.667.889-2,pagos@friosorno.cl,F-10658,2026-07-13,2026-08-27,CLP,3312000,0
Minera Andacollo SpA,76.883.112-4,cuentas@mineraandacollo.cl,F-10517,2026-06-05,2026-09-03,USD,46243,46243
Agroindustrial Maipo SA,96.551.740-2,tesoreria@agromaipo.cl,F-10446,2026-07-21,2026-09-04,CLP,1727000,0
Supermercados Buin Ltda,77.445.223-1,finanzas@supbuin.cl,F-10537,2026-07-21,2026-09-04,CLP,7629000,7629000
Retail Sur Global SA,96.770.114-9,pagos@retailsurglobal.cl,F-10559,2026-07-11,2026-09-09,USD,76392,0
Distribuidora Bahia Azul,79.554.012-6,cobranzas@bahiaazul.cl,F-10638,2026-07-12,2026-09-10,CLP,1586000,1586000
Minera Andacollo SpA,76.883.112-4,cuentas@mineraandacollo.cl,F-10516,2026-08-14,2026-09-13,USD,75232,75232
Minera Andacollo SpA,76.883.112-4,cuentas@mineraandacollo.cl,F-10511,2026-08-04,2026-09-18,USD,73684,73684
Minera Andacollo SpA,76.883.112-4,cuentas@mineraandacollo.cl,F-10524,2026-08-06,2026-09-20,USD,89881,19014
Frigorifico Osorno SpA,77.667.889-2,pagos@friosorno.cl,F-10652,2026-07-22,2026-09-20,CLP,9744000,9744000
Constructora Alerce SpA,76.412.330-5,pagos@alerce.cl,F-10406,2026-08-08,2026-09-22,CLP,5828000,5828000
Constructora Alerce SpA,76.412.330-5,pagos@alerce.cl,F-10401,2026-07-25,2026-09-23,CLP,6477000,6477000
Frigorifico Osorno SpA,77.667.889-2,pagos@friosorno.cl,F-10676,2026-08-11,2026-09-25,CLP,2869000,2869000
Distribuidora Bahia Azul,79.554.012-6,cobranzas@bahiaazul.cl,F-10637,2026-06-30,2026-09-28,CLP,8625000,0
Frigorifico Osorno SpA,77.667.889-2,pagos@friosorno.cl,F-10648,2026-08-08,2026-10-07,CLP,8705000,0
Constructora Alerce SpA,76.412.330-5,pagos@alerce.cl,F-10408,2026-08-10,2026-10-09,CLP,4261000,4261000
Clínica Los Robles,78.112.667-3,administracion@clinrobles.cl,F-10568,2026-08-10,2026-10-09,CLP,4689000,0
Inmobiliaria Pehuen,76.998.441-7,gerencia@pehuen.cl,F-10629,2026-08-16,2026-10-15,CLP,3380000,3380000
Minera Andacollo SpA,76.883.112-4,cuentas@mineraandacollo.cl,F-10514,2026-07-25,2026-10-23,USD,15770,15770
Clínica Los Robles,78.112.667-3,administracion@clinrobles.cl,F-10577,2026-07-26,2026-10-24,CLP,8148000,8148000
Inmobiliaria Pehuen,76.998.441-7,gerencia@pehuen.cl,F-10624,2026-08-07,2026-11-05,CLP,4585000,4585000
Agroindustrial Maipo SA,96.551.740-2,tesoreria@agromaipo.cl,F-10453,2026-08-13,2026-11-11,CLP,5735000,5735000
Transportes Vinamar Ltda,78.990.221-K,contabilidad@vinamar.cl,F-10416,2026-08-21,2026-11-19,CLP,8453000,8453000
